job_id,submit_time,real_iteration,model_name,ddl,batch_size,num_gpu,real_duration,duration,iteration
341,3601042,143813,bert,3633881,64,1,23847,23847,143813
342,3601773,121560,gpt2,3615731,128,1,16632,16632,121560
343,3603702,169610,resnet50,3630206,64,1,24786,24786,169610
344,3603725,87735,bert,3640411,128,1,24542,24542,87735
345,3606502,162390,resnet50,3624655,64,1,23731,23731,162390
346,3606503,50139,deepspeech2,3631148,32,1,16585,16585,50139
347,3619932,238133,gpt2,3642608,256,4,20815,20815,238133
348,3622365,26648,deepspeech2,3647031,64,1,16656,16656,26648
349,3623885,91786,bert,3654711,128,1,25675,25675,91786
350,3623891,4256,resnet50,3624711,64,1,622,622,4256
351,3623916,300412,vgg16,3635981,64,4,20360,20360,300412
352,3625591,2273,resnet50,3626093,128,1,622,622,2273
353,3626130,72099,deepspeech2,3647193,32,1,23849,23849,72099
354,3626705,1377111,inception3,3776645,128,4,176471,176471,1377111
355,3629107,166195,resnet50,3660225,64,1,24287,24287,166195
356,3630868,118956,resnet50,3645755,256,4,19215,19215,118956
357,3637157,1628750,resnet50,3723926,64,4,89008,89008,1628750
358,3648283,1163,resnet50,3649058,256,1,631,631,1163
359,3652534,413743,vgg16,3757724,256,4,89133,89133,413743
360,3653192,2352,bert,3653685,128,1,658,658,2352
361,3654028,4167,bert,3654658,64,1,691,691,4167
362,3654525,944015,deepspeech2,3803074,64,4,179718,179718,944015
363,3654706,2674731,vgg16,3782717,64,4,181276,181276,2674731
364,3672278,62443,inception3,3697251,128,1,24370,24370,62443
365,3672278,73359,deepspeech2,3692110,32,1,24266,24266,73359
366,3673999,177831,gpt2,3699640,128,1,24331,24331,177831
367,3680694,1542,inception3,3681185,128,1,602,602,1542
368,3682946,8929,deepspeech2,3688058,64,1,5581,5581,8929
369,3696926,194367,vgg16,3705656,64,4,13173,13173,194367
370,3696930,156864,inception3,3707229,64,4,13415,13415,156864
371,3698209,79073,inception3,3709350,64,1,16403,16403,79073
372,3698209,96575,bert,3720430,64,1,16014,16014,96575
373,3699634,1953376,resnet50,4012933,128,2,295093,295093,1953376
374,3699860,115049,gpt2,3728673,256,1,28079,28079,115049
375,3714878,240447,inception3,3730117,64,4,20563,20563,240447
376,3715545,94327,vgg16,3734133,256,4,20321,20321,94327
377,3738571,87595,deepspeech2,3776190,32,1,28975,28975,87595
378,3738580,88891,resnet50,3759677,128,1,24318,24318,88891
379,3743782,863136,vgg16,3861952,256,4,185946,185946,863136
380,3743803,984850,deepspeech2,3989953,64,4,187492,187492,984850
381,3767636,79173,vgg16,3797727,128,1,30164,30164,79173
382,3767699,64300,inception3,3797222,128,1,25095,25095,64300
383,3768325,3853,bert,3768971,64,1,639,639,3853
384,3769346,3057,vgg16,3770085,64,1,605,605,3057
385,3778315,2065007,gpt2,3874590,256,4,180500,180500,2065007
386,3792131,174133,gpt2,3811521,128,1,23825,23825,174133
387,3792141,60941,inception3,3809098,128,1,23784,23784,60941
388,3794017,942860,deepspeech2,3909875,64,4,179498,179498,942860
389,3798799,1566874,vgg16,3981690,128,4,179672,179672,1566874
390,3807516,390414,inception3,3850995,128,4,50030,50030,390414
391,3816980,1709877,vgg16,3944950,128,4,196070,196070,1709877
392,3817009,2006540,bert,3995325,64,4,193751,193751,2006540
393,3853696,59472,vgg16,3881435,128,1,22658,22658,59472
394,3877453,3636647,resnet50,4124791,64,2,307189,307189,3636647
395,3939267,46379,resnet50,3966556,256,1,25160,25160,46379
396,3939287,128766,vgg16,3956386,64,1,25483,25483,128766
397,3944029,1797,vgg16,3944602,128,1,685,685,1797
398,3948161,112759,inception3,3976934,64,1,23391,23391,112759
399,3948161,42961,resnet50,3973045,256,1,23306,23306,42961
400,3948643,89423,bert,3979473,128,1,25014,25014,89423
401,3948683,75092,deepspeech2,3978642,32,1,24839,24839,75092
402,3957067,86445,resnet50,3986690,128,1,23649,23649,86445
403,3966520,3329416,resnet50,4213768,64,4,181946,181946,3329416
404,3966537,2121521,inception3,4101072,64,4,181432,181432,2121521
405,3974498,959799,bert,4093657,64,4,92678,92678,959799
406,3974528,663692,deepspeech2,4074696,32,4,87977,87977,663692
407,3980444,2101035,inception3,4131567,64,4,179680,179680,2101035
408,3982911,124642,inception3,4016515,64,1,25856,25856,124642
409,3982911,77075,deepspeech2,4001693,32,1,25495,25495,77075
410,3986839,31824,deepspeech2,3997480,32,1,10527,10527,31824
411,3999273,2245,bert,3999969,128,1,628,628,2245
412,3999556,49600,vgg16,4008821,64,1,9816,9816,49600
413,4010260,2833894,vgg16,4214691,64,4,192063,192063,2833894
414,4028354,37959,vgg16,4046644,256,1,28896,28896,37959
415,4029438,133936,inception3,4068164,64,1,27784,27784,133936
416,4030894,1229,resnet50,4031372,256,1,667,667,1229
417,4033191,217305,resnet50,4050925,64,1,31756,31756,217305
418,4033191,122121,inception3,4046548,64,1,25333,25333,122121
419,4040789,638725,vgg16,4193682,256,4,137601,137601,638725
420,4058834,990634,deepspeech2,4198106,64,4,188593,188593,990634
